statefip,year,vacant,units,state_name,total_units,vacancy_rate,vacancy_status
44,2016,0,408241,Rhode Island,462598,0.11750375055663881,Occupied
44,2019,0,407178,Rhode Island,470177,0.13398996548108477,Occupied
44,2017,1,59516,Rhode Island,468266,0.1270987003113615,Vacant
44,2018,1,62577,Rhode Island,469153,0.13338292625220344,Vacant
44,2018,0,406576,Rhode Island,469153,0.13338292625220344,Occupied
44,2015,0,407484,Rhode Island,462555,0.11905827415118202,Occupied
44,2015,1,55071,Rhode Island,462555,0.11905827415118202,Vacant
44,2016,1,54357,Rhode Island,462598,0.11750375055663881,Vacant
44,2019,1,62999,Rhode Island,470177,0.13398996548108477,Vacant
45,2017,0,1905075,South Carolina,2284794,0.1661939763497278,Occupied
45,2016,0,1877773,South Carolina,2236147,0.16026406135195942,Occupied
45,2016,1,358374,South Carolina,2236147,0.16026406135195942,Vacant
45,2015,0,1857768,South Carolina,2210150,0.1594380471913671,Occupied
45,2019,0,1975851,South Carolina,2351300,0.15967719984689321,Occupied
45,2017,1,379719,South Carolina,2284794,0.1661939763497278,Vacant
45,2018,1,390293,South Carolina,2318182,0.1683616730696727,Vacant
45,2015,1,352382,South Carolina,2210150,0.1594380471913671,Vacant
45,2019,1,375449,South Carolina,2351300,0.15967719984689321,Vacant
45,2018,0,1927889,South Carolina,2318182,0.1683616730696727,Occupied
46,2015,0,339435,South Dakota,380307,0.10747106942549046,Occupied
46,2017,0,344257,South Dakota,392650,0.12324716668788997,Occupied
